#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
200,Alexei Downie,,,,"Turnover, Steal",Turnover,00:00:21.8,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,2:57,"Alexei Downie, Aamyr Sullivan",,4 Alexei Downie > No Play Type > Turnover
201,Aamyr Sullivan,,,,Foul,Foul,00:00:10.3,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,2:53,"Aidan Roy, Aamyr Sullivan",Transition,1 Aamyr Sullivan > Transition > Ballhandler > To Basket > Foul
202,Aamyr Sullivan,,,,FTm,Free Throw,00:00:05.8,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Aamyr Sullivan,,1 Aamyr Sullivan > Non Possession > Free Throw
203,Aamyr Sullivan,,,,FTM,Free Throw,00:00:04.7,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Aamyr Sullivan,,1 Aamyr Sullivan > Non Possession > Free Throw
204,Aidan Roy,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:22.1,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,2:32,"Aidan Roy, Russell Rau","P&R BH, Spot Up",23 Hakeem Daphnis > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Aidan Roy > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
205,Aamyr Sullivan,,,,2FGM,Make 2 Pts,00:00:15.0,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,2:11,Aamyr Sullivan,P&R BH,1 Aamyr Sullivan > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
206,Hakeem Daphnis,,,,Foul,Foul,00:00:07.1,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,2:03,"Jamir Harvey, Hakeem Daphnis",Transition,23 Hakeem Daphnis > Transition > Ballhandler > To Basket > Foul
207,Hakeem Daphnis,,,,FTm,Free Throw,00:00:05.6,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,,Hakeem Daphnis,,23 Hakeem Daphnis > Non Possession > Free Throw
208,Hakeem Daphnis,,,,"FTm, Def Reb",Free Throw,00:00:06.3,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,,"Hakeem Daphnis, Russell Rau",,23 Hakeem Daphnis > Non Possession > Free Throw
209,Jamir Harvey,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:18.4,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,1:41,"Hakeem Daphnis, Jamir Harvey","P&R BH, P&R Roll Man",1 Aamyr Sullivan > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Jamir Harvey > P&R Roll Man > Pick and Pops > Drives Right > To Basket > Miss 2 Pts
