#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
70,Eamon Kelly,,,,"3FGM, Assist",Make 3 Pts,00:00:17.0,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,6:59,"Eamon Kelly, Lemar Fulmore",Spot Up,5 Eamon Kelly > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
71,Azriel Almodovar,,,,2FGM,Make 2 Pts,00:00:08.8,,,Bard College,Bar@SLC,11/08/2024,1,6:47,Azriel Almodovar,Transition,4 Azriel Almodovar > Transition > Ballhandler > To Basket > Make 2 Pts
72,Aiden Morel,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:16.4,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,6:33,"Azriel Almodovar, Aiden Morel",Spot Up,15 Aiden Morel > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
73,Ahmad Rauf,,,,3FGm,Miss 3 Pts,00:00:26.7,,,Bard College,Bar@SLC,11/08/2024,1,6:15,Ahmad Rauf,Spot Up,2 Ahmad Rauf > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
74,Sean Wilcox,,,,"Off Reb, Foul, Turnover",Turnover,00:00:09.2,,,Bard College,Bar@SLC,11/08/2024,1,6:15,Sean Wilcox,Off Reb,31 Sean Wilcox > Offensive Rebound > Long > Turnover
75,Lemar Fulmore,,,,2FGM,Make 2 Pts,00:00:10.1,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,5:57,Lemar Fulmore,P&R BH,1 Lemar Fulmore > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Make 2 Pts
76,Rowan Heinze,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:25.0,,,Bard College,Bar@SLC,11/08/2024,1,5:31,"John Kairouz, Rowan Heinze, Andrew Kim",Post Up,21 Rowan Heinze > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts
77,Andrew Kim,,,,3FGm,Miss 3 Pts,00:00:19.6,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,5:23,Andrew Kim,Spot Up,2 Andrew Kim > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
78,Eamon Kelly,,,,Off Reb,Run Offense,00:00:07.3,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,,Eamon Kelly,Off Reb,5 Eamon Kelly > Offensive Rebound > Short > Run Offense
79,Eamon Kelly,,,,"3FGM, Assist",Make 3 Pts,00:00:16.9,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,5:11,"Andrew Kim, Eamon Kelly",Spot Up,5 Eamon Kelly > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
80,Azriel Almodovar,,,,"Foul, Turnover",Turnover,00:00:10.3,,,Bard College,Bar@SLC,11/08/2024,1,5:02,Azriel Almodovar,Transition,4 Azriel Almodovar > Transition > Ballhandler > Turnover
