Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
VC,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Jackson Otis,Misc,N/A,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,Foul,To Basket,Shea Fitzgerald,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Brock Bowen,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,Turnover,N/A,Shea Fitzgerald,Misc,N/A,N/A,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,PNR,Left,Off,Kenny Wilburn,P&R Roll Man,N/A,Roll
VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Nathan Denham,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Jackson Otis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,Avery Lee,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,Turnover,N/A,Devyn Benson,Misc,N/A,N/A,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Josiah Turner,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,Luke Adams,Iso,Right,N/A,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,Dribble Jumper,Kreekor Karageuzian,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pMa,To Basket,Luke Adams,PNR,High,Off,Devyn Benson,Cuts,N/A,Basket
VC,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,PNR,Left,Off,Josiah Turner,P&R Roll Man,N/A,Roll
VC,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,3pMa,No Dribble Jumper,Avery Lee,PNR,High,Off,Luke Adams,Spot Ups,N/A,Shot
VC,RIT,Rochester Institute of Technology Tigers,Foul,Dribble Jumper,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,Foul,To Basket,Logan Scott,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,PNR,High,Off,Jackson Otis,Spot Ups,N/A,Shot
VC,RIT,Vassar Brewers,2pmi,To Basket,Logan Scott,Post,Right,Dribble,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,Foul,To Basket,Shea Fitzgerald,PNR,High,Off,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,PNR,High,Off,Josiah Turner,Spot Ups,N/A,Shot
VC,RIT,Vassar Brewers,3pmi,No Dribble Jumper,Shea Fitzgerald,PNR,High,Off,Luke Adams,Spot Ups,N/A,Shot
VC,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
