#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
77,Azriel Almodovar,,,,FTM,Free Throw,00:00:08.0,,,Bard College,Bar@RIT,02/17/2024,1,,Azriel Almodovar,4 Azriel Almodovar > Non Possession > Free Throw,
78,Azriel Almodovar,,,,FTM,Free Throw,00:00:07.3,,,Bard College,Bar@RIT,02/17/2024,1,,Azriel Almodovar,4 Azriel Almodovar > Non Possession > Free Throw,
79,Mark Osime,,,,,Shot Clock Violation,00:00:31.9,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,,Mark Osime,23 Mark Osime > Non Possession > Shot Clock Violation,
80,Laz Panagiotounis,,,,"Transition, 3FGM, Assist",Make 3 Pts,00:00:12.8,,,Bard College,Bar@RIT,02/17/2024,1,5:13,"Laz Panagiotounis, Sean Wilcox",15 Laz Panagiotounis > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
81,Brody Brown,,,,"Iso, Spot Up, 2FGm, Def Reb",Miss 2 Pts,00:00:14.5,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,4:54,"Brody Brown, Rowan Heinze",11 Chase Dickens > ISO > Right > Drives Left > Defense Commits > Ball Delivered > 12 Brody Brown > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts,
82,Rowan Heinze,,,,"Post Up, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:25.4,,,Bard College,Bar@RIT,02/17/2024,1,4:27,"Rowan Heinze, Josiah Turner, Chase Dickens",21 Rowan Heinze > Post-Up > Left Block > Left Shoulder > Dribble Move > To Up and Under > Miss 2 Pts,
83,Josiah Turner,,,,"Iso, Foul, Turnover",Turnover,00:00:24.8,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,4:12,Josiah Turner,33 Josiah Turner > ISO > Left > Drives Left > Turnover,
84,Sean Wilcox,,,,"Post Up, Foul",Foul,00:00:25.3,,,Bard College,Bar@RIT,02/17/2024,1,3:56,"Jackson Otis, Sean Wilcox",31 Sean Wilcox > Post-Up > Flash Middle > Foul,
85,Sean Wilcox,,,,FTM,Free Throw,00:00:11.9,,,Bard College,Bar@RIT,02/17/2024,1,,Sean Wilcox,31 Sean Wilcox > Non Possession > Free Throw,
86,Sean Wilcox,,,,FTM,Free Throw,00:00:05.9,,,Bard College,Bar@RIT,02/17/2024,1,,Sean Wilcox,31 Sean Wilcox > Non Possession > Free Throw,
87,Chase Dickens,,,,"Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:18.9,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,3:34,"Chase Dickens, Laz Panagiotounis",11 Chase Dickens > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts,
88,Rowan Heinze,,,,"Transition, 3FGm",Miss 3 Pts,00:00:23.8,,,Bard College,Bar@RIT,02/17/2024,1,3:27,Rowan Heinze,21 Rowan Heinze > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
89,Elliot Harris,,,,"Off Reb, 2FGm, Off Reb",Miss 2 Pts,00:00:10.4,,,Bard College,Bar@RIT,02/17/2024,1,3:17,Elliot Harris,33 Elliot Harris > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,
90,Azriel Almodovar,,,,,Miss 2 Pts,00:00:10.4,,,Bard College,Bar@RIT,02/17/2024,1,,Azriel Almodovar,4 Azriel Almodovar > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,
91,Mark Osime,,,,"Transition, Foul",Foul,00:00:12.1,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,3:14,"Rowan Heinze, Mark Osime",23 Mark Osime > Transition > Left Wing > To Basket > Foul,
92,Mark Osime,,,,FTM,Free Throw,00:00:07.7,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,,Mark Osime,23 Mark Osime > Non Possession > Free Throw,
93,Mark Osime,,,,FTM,Free Throw,00:00:07.1,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,,Mark Osime,23 Mark Osime > Non Possession > Free Throw,
94,Rowan Heinze,,,,"Cut, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:30.4,,,Bard College,Bar@RIT,02/17/2024,1,2:50,"Mark Osime, Rowan Heinze, Josiah Turner",21 Rowan Heinze > Cut > Flash > Miss 2 Pts,
95,Josiah Turner,,,,"Post Up, 2FGM, Foul",1 Pts,00:00:23.3,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,2:24,"Rowan Heinze, Josiah Turner",33 Josiah Turner > Post-Up > Right Block > Face-up > Drive Baseline > Make 2 Pts Foul > 1 Pts,
96,Josiah Turner,,,,FTM,Free Throw,00:00:09.1,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,,Josiah Turner,33 Josiah Turner > Non Possession > Free Throw,
97,Sean Wilcox,,,,"Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:34.5,,,Bard College,Bar@RIT,02/17/2024,1,1:56,"Sean Wilcox, Zac Ditzel",31 Sean Wilcox > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
98,Zac Ditzel,,,,,No Violation,00:00:11.9,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,,Zac Ditzel,20 Zac Ditzel > Non Possession > No Violation,
99,Zac Ditzel,,,,"Iso, Cut, 2FGm, Def Reb",Miss 2 Pts,00:00:22.4,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,1:29,"Zac Ditzel, Rowan Heinze",10 Brock Bowen > ISO > Left > Drives Right > Defense Commits > Ball Delivered > 20 Zac Ditzel > Cut > Basket > Miss 2 Pts,
100,Laz Panagiotounis,,,,"Transition Turnover, Turnover",Turnover,00:00:09.3,,,Bard College,Bar@RIT,02/17/2024,1,1:22,Laz Panagiotounis,15 Laz Panagiotounis > Transition > Right Wing > Turnover,
