Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Malachi Moore,Rochester (NY) Yellowjackets,14,2,0,0.0000,10,4,40.0000,5,3,60.0000,33.33333,1,1
PJ Scalisi,Rensselaer Polytechnic,13,7,1,14.2857,4,0,0.0000,3,0,0.0000,13.63636,1,1
Ian Bentley,Skidmore Thoroughbreds,13,7,0,0.0000,1,1,100.0000,0,0,NULL,12.50000,4,1
Jack Foley,St. John Fisher Cardinals,13,5,4,80.0000,6,3,50.0000,0,0,NULL,81.81818,1,1
Troy McPherson,St. Lawrence Saints,13,4,1,25.0000,5,2,40.0000,2,0,0.0000,38.88889,4,0
Carter Storey,St. Lawrence Saints,13,8,2,25.0000,4,2,50.0000,2,1,50.0000,41.66667,1,0
Case Parsons,Vassar Brewers,13,1,0,0.0000,7,3,42.8571,0,0,NULL,37.50000,4,1
Riley Spencer,Elmira,13,2,0,0.0000,8,2,25.0000,6,1,16.6667,20.00000,1,2
Enow Otto Jr.,Gallaudet University Bison,13,0,0,NULL,10,3,30.0000,3,2,66.6667,30.00000,2,1
Matt Wiele,Rochester (NY) Yellowjackets,13,2,0,0.0000,7,6,85.7143,0,0,NULL,66.66667,2,2
Chase Welch,Wells,12,3,0,0.0000,4,0,0.0000,2,0,0.0000,0.00000,4,1
Marc Anthony Artuz,Elmira,12,4,2,50.0000,6,2,33.3333,2,0,0.0000,50.00000,2,0
Matt Niemczura,Rochester (NY) Yellowjackets,12,4,0,0.0000,5,2,40.0000,0,0,NULL,22.22222,1,2
Gabriel Bergeron,Hobart College Statesmen,11,5,0,0.0000,3,0,0.0000,1,0,0.0000,0.00000,1,2
Hunter Meshanic,Hobart College Statesmen,11,1,0,0.0000,8,4,50.0000,0,0,NULL,44.44444,2,0
Andrew Deppe,Rensselaer Polytechnic,11,1,1,100.0000,7,3,42.8571,1,1,100.0000,56.25000,2,1
Lemar Fulmore Jr,Union (NY) Dutchmen,11,1,0,0.0000,6,3,50.0000,1,1,100.0000,42.85714,3,1
Luke Adams,Vassar Brewers,11,8,4,50.0000,2,0,0.0000,1,0,0.0000,60.00000,0,1
Dylan Jacob,Elmira,11,3,1,33.3333,7,2,28.5714,0,0,NULL,35.00000,0,1
Carter Seeberger,Elmira,11,1,0,0.0000,8,4,50.0000,3,0,0.0000,44.44444,1,1
Tomiwa Adetosoye,Rochester (NY) Yellowjackets,11,1,0,0.0000,7,3,42.8571,0,0,NULL,37.50000,3,0
Bryce Bleibtrey,Ithaca College,10,1,1,100.0000,3,2,66.6667,0,0,NULL,87.50000,4,2
Jordan Haggard,Nazareth College Golden Flyers,10,3,1,33.3333,6,3,50.0000,2,0,0.0000,50.00000,1,0
Connor Williams,St. John Fisher Cardinals,10,2,1,50.0000,8,5,62.5000,0,0,NULL,65.00000,0,0
Alex Antsiferov,Gallaudet University Bison,10,0,0,NULL,7,4,57.1429,0,0,NULL,57.14286,1,2
Kevin Le,Bard College,9,2,1,50.0000,5,1,20.0000,0,0,NULL,35.71429,1,1
Dorian Paki,Hobart College Statesmen,9,0,0,NULL,7,2,28.5714,0,0,NULL,28.57143,2,0
