Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,And1,To Basket,Heston Tucker,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Foul,N/A,Keegan Ocorr,Iso,Right,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pMa,No Dribble Jumper,Elliot Harris,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Jackson Otis,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,To Basket,Heston Tucker,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Keegan Ocorr,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pmi,To Basket,Elliot Harris,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Laz Panagiotounis,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,PNR,Right,Off,Zac Ditzel,Spot Ups,N/A,Shot
RIT,Bar,Bard College,Turnover,N/A,Azriel Almodovar,PNR,High,Away,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Foul,To Basket,Kenny Wilburn,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,Dribble Jumper,Heston Tucker,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Foul,Dribble Jumper,Chase Dickens,PNR,Right,Away,Brody Brown,Spot Ups,Left,Drive
RIT,Bar,Bard College,2pMa,To Basket,Sean Wilcox,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pMa,No Dribble Jumper,Laz Panagiotounis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Kenny Wilburn,PNR,Right,Off,Chase Dickens,P&R Roll Man,Right,Pop
RIT,Bar,Bard College,2pmi,Dribble Jumper,Connor Melis,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,To Basket,Sean Wilcox,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Foul,N/A,Heston Tucker,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brandon Weiss,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Foul,N/A,Connor Melis,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Brock Bowen,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Foul,N/A,Laz Panagiotounis,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Brandon Weiss,PNR,Right,Off,N/A,N/A,N/A,N/A
